 >TARCYL  cylindrical target: Length= 20.0000 Diameter=  3.0000
      4500 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
  -0.50000  -0.00000  -0.00000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
      1  -9  -1  -1 1 1 1
      2  -8  -1  -1 1 1 1
      3  -7  -1  -1 1 1 1
      4  -6  -1  -1 1 1 1
      5  -5  -1  -1 1 1 1
      6  -4  -1  -1 1 1 1
      7  -3  -1  -1 1 1 1
      8  -2  -1  -1 1 1 1
      9  -1  -1  -1 1 1 1
     10   0  -1  -1 1 1 1
     11   1  -1  -1 1 1 1
     12   2  -1  -1 1 1 1
     13   3  -1  -1 1 1 1
     14   4  -1  -1 1 1 1
     15   5  -1  -1 1 1 1
     16   6  -1  -1 1 1 1
     17   7  -1  -1 1 1 1
     18   8  -1  -1 1 1 1
     19   9  -1  -1 1 1 1
     20  10  -1  -1 1 1 1
     21  -9   0  -1 1 1 1
     22  -8   0  -1 1 1 1
     23  -7   0  -1 1 1 1
     24  -6   0  -1 1 1 1
     25  -5   0  -1 1 1 1
     26  -4   0  -1 1 1 1
     27  -3   0  -1 1 1 1
     28  -2   0  -1 1 1 1
     29  -1   0  -1 1 1 1
     30   0   0  -1 1 1 1
     31   1   0  -1 1 1 1
     32   2   0  -1 1 1 1
     33   3   0  -1 1 1 1
     34   4   0  -1 1 1 1
     35   5   0  -1 1 1 1
     36   6   0  -1 1 1 1
     37   7   0  -1 1 1 1
     38   8   0  -1 1 1 1
     39   9   0  -1 1 1 1
     40  10   0  -1 1 1 1
     41  -9   1  -1 1 1 1
     42  -8   1  -1 1 1 1
     43  -7   1  -1 1 1 1
     44  -6   1  -1 1 1 1
     45  -5   1  -1 1 1 1
     46  -4   1  -1 1 1 1
     47  -3   1  -1 1 1 1
     48  -2   1  -1 1 1 1
     49  -1   1  -1 1 1 1
     50   0   1  -1 1 1 1
     51   1   1  -1 1 1 1
     52   2   1  -1 1 1 1
     53   3   1  -1 1 1 1
     54   4   1  -1 1 1 1
     55   5   1  -1 1 1 1
     56   6   1  -1 1 1 1
     57   7   1  -1 1 1 1
     58   8   1  -1 1 1 1
     59   9   1  -1 1 1 1
     60  10   1  -1 1 1 1
     61  -9  -1   0 1 1 1
     62  -8  -1   0 1 1 1
     63  -7  -1   0 1 1 1
     64  -6  -1   0 1 1 1
     65  -5  -1   0 1 1 1
     66  -4  -1   0 1 1 1
     67  -3  -1   0 1 1 1
     68  -2  -1   0 1 1 1
     69  -1  -1   0 1 1 1
     70   0  -1   0 1 1 1
     71   1  -1   0 1 1 1
     72   2  -1   0 1 1 1
     73   3  -1   0 1 1 1
     74   4  -1   0 1 1 1
     75   5  -1   0 1 1 1
     76   6  -1   0 1 1 1
     77   7  -1   0 1 1 1
     78   8  -1   0 1 1 1
     79   9  -1   0 1 1 1
     80  10  -1   0 1 1 1
     81  -9   0   0 1 1 1
     82  -8   0   0 1 1 1
     83  -7   0   0 1 1 1
     84  -6   0   0 1 1 1
     85  -5   0   0 1 1 1
     86  -4   0   0 1 1 1
     87  -3   0   0 1 1 1
     88  -2   0   0 1 1 1
     89  -1   0   0 1 1 1
     90   0   0   0 1 1 1
     91   1   0   0 1 1 1
     92   2   0   0 1 1 1
     93   3   0   0 1 1 1
     94   4   0   0 1 1 1
     95   5   0   0 1 1 1
     96   6   0   0 1 1 1
     97   7   0   0 1 1 1
     98   8   0   0 1 1 1
     99   9   0   0 1 1 1
    100  10   0   0 1 1 1
    101  -9   1   0 1 1 1
    102  -8   1   0 1 1 1
    103  -7   1   0 1 1 1
    104  -6   1   0 1 1 1
    105  -5   1   0 1 1 1
    106  -4   1   0 1 1 1
    107  -3   1   0 1 1 1
    108  -2   1   0 1 1 1
    109  -1   1   0 1 1 1
    110   0   1   0 1 1 1
    111   1   1   0 1 1 1
    112   2   1   0 1 1 1
    113   3   1   0 1 1 1
    114   4   1   0 1 1 1
    115   5   1   0 1 1 1
    116   6   1   0 1 1 1
    117   7   1   0 1 1 1
    118   8   1   0 1 1 1
    119   9   1   0 1 1 1
    120  10   1   0 1 1 1
    121  -9  -1   1 1 1 1
    122  -8  -1   1 1 1 1
    123  -7  -1   1 1 1 1
    124  -6  -1   1 1 1 1
    125  -5  -1   1 1 1 1
    126  -4  -1   1 1 1 1
    127  -3  -1   1 1 1 1
    128  -2  -1   1 1 1 1
    129  -1  -1   1 1 1 1
    130   0  -1   1 1 1 1
    131   1  -1   1 1 1 1
    132   2  -1   1 1 1 1
    133   3  -1   1 1 1 1
    134   4  -1   1 1 1 1
    135   5  -1   1 1 1 1
    136   6  -1   1 1 1 1
    137   7  -1   1 1 1 1
    138   8  -1   1 1 1 1
    139   9  -1   1 1 1 1
    140  10  -1   1 1 1 1
    141  -9   0   1 1 1 1
    142  -8   0   1 1 1 1
    143  -7   0   1 1 1 1
    144  -6   0   1 1 1 1
    145  -5   0   1 1 1 1
    146  -4   0   1 1 1 1
    147  -3   0   1 1 1 1
    148  -2   0   1 1 1 1
    149  -1   0   1 1 1 1
    150   0   0   1 1 1 1
    151   1   0   1 1 1 1
    152   2   0   1 1 1 1
    153   3   0   1 1 1 1
    154   4   0   1 1 1 1
    155   5   0   1 1 1 1
    156   6   0   1 1 1 1
    157   7   0   1 1 1 1
    158   8   0   1 1 1 1
    159   9   0   1 1 1 1
    160  10   0   1 1 1 1
    161  -9   1   1 1 1 1
    162  -8   1   1 1 1 1
    163  -7   1   1 1 1 1
    164  -6   1   1 1 1 1
    165  -5   1   1 1 1 1
    166  -4   1   1 1 1 1
    167  -3   1   1 1 1 1
    168  -2   1   1 1 1 1
    169  -1   1   1 1 1 1
    170   0   1   1 1 1 1
    171   1   1   1 1 1 1
    172   2   1   1 1 1 1
    173   3   1   1 1 1 1
    174   4   1   1 1 1 1
    175   5   1   1 1 1 1
    176   6   1   1 1 1 1
    177   7   1   1 1 1 1
    178   8   1   1 1 1 1
    179   9   1   1 1 1 1
    180  10   1   1 1 1 1
    181 -29  -2  -4 1 1 1
    182 -28  -2  -4 1 1 1
    183 -27  -2  -4 1 1 1
    184 -26  -2  -4 1 1 1
    185 -25  -2  -4 1 1 1
    186 -24  -2  -4 1 1 1
    187 -23  -2  -4 1 1 1
    188 -22  -2  -4 1 1 1
    189 -21  -2  -4 1 1 1
    190 -20  -2  -4 1 1 1
    191 -19  -2  -4 1 1 1
    192 -18  -2  -4 1 1 1
    193 -17  -2  -4 1 1 1
    194 -16  -2  -4 1 1 1
    195 -15  -2  -4 1 1 1
    196 -14  -2  -4 1 1 1
    197 -13  -2  -4 1 1 1
    198 -12  -2  -4 1 1 1
    199 -11  -2  -4 1 1 1
    200 -10  -2  -4 1 1 1
    201  -9  -2  -4 1 1 1
    202  -8  -2  -4 1 1 1
    203  -7  -2  -4 1 1 1
    204  -6  -2  -4 1 1 1
    205  -5  -2  -4 1 1 1
    206  -4  -2  -4 1 1 1
    207  -3  -2  -4 1 1 1
    208  -2  -2  -4 1 1 1
    209  -1  -2  -4 1 1 1
    210   0  -2  -4 1 1 1
    211   1  -2  -4 1 1 1
    212   2  -2  -4 1 1 1
    213   3  -2  -4 1 1 1
    214   4  -2  -4 1 1 1
    215   5  -2  -4 1 1 1
    216   6  -2  -4 1 1 1
    217   7  -2  -4 1 1 1
    218   8  -2  -4 1 1 1
    219   9  -2  -4 1 1 1
    220  10  -2  -4 1 1 1
    221  11  -2  -4 1 1 1
    222  12  -2  -4 1 1 1
    223  13  -2  -4 1 1 1
    224  14  -2  -4 1 1 1
    225  15  -2  -4 1 1 1
    226  16  -2  -4 1 1 1
    227  17  -2  -4 1 1 1
    228  18  -2  -4 1 1 1
    229  19  -2  -4 1 1 1
    230  20  -2  -4 1 1 1
    231  21  -2  -4 1 1 1
    232  22  -2  -4 1 1 1
    233  23  -2  -4 1 1 1
    234  24  -2  -4 1 1 1
    235  25  -2  -4 1 1 1
    236  26  -2  -4 1 1 1
    237  27  -2  -4 1 1 1
    238  28  -2  -4 1 1 1
    239  29  -2  -4 1 1 1
    240  30  -2  -4 1 1 1
    241 -29  -1  -4 1 1 1
    242 -28  -1  -4 1 1 1
    243 -27  -1  -4 1 1 1
    244 -26  -1  -4 1 1 1
    245 -25  -1  -4 1 1 1
    246 -24  -1  -4 1 1 1
    247 -23  -1  -4 1 1 1
    248 -22  -1  -4 1 1 1
    249 -21  -1  -4 1 1 1
    250 -20  -1  -4 1 1 1
    251 -19  -1  -4 1 1 1
    252 -18  -1  -4 1 1 1
    253 -17  -1  -4 1 1 1
    254 -16  -1  -4 1 1 1
    255 -15  -1  -4 1 1 1
    256 -14  -1  -4 1 1 1
    257 -13  -1  -4 1 1 1
    258 -12  -1  -4 1 1 1
    259 -11  -1  -4 1 1 1
    260 -10  -1  -4 1 1 1
    261  -9  -1  -4 1 1 1
    262  -8  -1  -4 1 1 1
    263  -7  -1  -4 1 1 1
    264  -6  -1  -4 1 1 1
    265  -5  -1  -4 1 1 1
    266  -4  -1  -4 1 1 1
    267  -3  -1  -4 1 1 1
    268  -2  -1  -4 1 1 1
    269  -1  -1  -4 1 1 1
    270   0  -1  -4 1 1 1
    271   1  -1  -4 1 1 1
    272   2  -1  -4 1 1 1
    273   3  -1  -4 1 1 1
    274   4  -1  -4 1 1 1
    275   5  -1  -4 1 1 1
    276   6  -1  -4 1 1 1
    277   7  -1  -4 1 1 1
    278   8  -1  -4 1 1 1
    279   9  -1  -4 1 1 1
    280  10  -1  -4 1 1 1
    281  11  -1  -4 1 1 1
    282  12  -1  -4 1 1 1
    283  13  -1  -4 1 1 1
    284  14  -1  -4 1 1 1
    285  15  -1  -4 1 1 1
    286  16  -1  -4 1 1 1
    287  17  -1  -4 1 1 1
    288  18  -1  -4 1 1 1
    289  19  -1  -4 1 1 1
    290  20  -1  -4 1 1 1
    291  21  -1  -4 1 1 1
    292  22  -1  -4 1 1 1
    293  23  -1  -4 1 1 1
    294  24  -1  -4 1 1 1
    295  25  -1  -4 1 1 1
    296  26  -1  -4 1 1 1
    297  27  -1  -4 1 1 1
    298  28  -1  -4 1 1 1
    299  29  -1  -4 1 1 1
    300  30  -1  -4 1 1 1
    301 -29   0  -4 1 1 1
    302 -28   0  -4 1 1 1
    303 -27   0  -4 1 1 1
    304 -26   0  -4 1 1 1
    305 -25   0  -4 1 1 1
    306 -24   0  -4 1 1 1
    307 -23   0  -4 1 1 1
    308 -22   0  -4 1 1 1
    309 -21   0  -4 1 1 1
    310 -20   0  -4 1 1 1
    311 -19   0  -4 1 1 1
    312 -18   0  -4 1 1 1
    313 -17   0  -4 1 1 1
    314 -16   0  -4 1 1 1
    315 -15   0  -4 1 1 1
    316 -14   0  -4 1 1 1
    317 -13   0  -4 1 1 1
    318 -12   0  -4 1 1 1
    319 -11   0  -4 1 1 1
    320 -10   0  -4 1 1 1
    321  -9   0  -4 1 1 1
    322  -8   0  -4 1 1 1
    323  -7   0  -4 1 1 1
    324  -6   0  -4 1 1 1
    325  -5   0  -4 1 1 1
    326  -4   0  -4 1 1 1
    327  -3   0  -4 1 1 1
    328  -2   0  -4 1 1 1
    329  -1   0  -4 1 1 1
    330   0   0  -4 1 1 1
