 >TARCYL  cylindrical target: Length= 66.0000 Diameter= 20.0000
     20856 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
  -0.50000  -0.50000  -0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
      1 -32  -2  -9 1 1 1
      2 -31  -2  -9 1 1 1
      3 -30  -2  -9 1 1 1
      4 -29  -2  -9 1 1 1
      5 -28  -2  -9 1 1 1
      6 -27  -2  -9 1 1 1
      7 -26  -2  -9 1 1 1
      8 -25  -2  -9 1 1 1
      9 -24  -2  -9 1 1 1
     10 -23  -2  -9 1 1 1
     11 -22  -2  -9 1 1 1
     12 -21  -2  -9 1 1 1
     13 -20  -2  -9 1 1 1
     14 -19  -2  -9 1 1 1
     15 -18  -2  -9 1 1 1
     16 -17  -2  -9 1 1 1
     17 -16  -2  -9 1 1 1
     18 -15  -2  -9 1 1 1
     19 -14  -2  -9 1 1 1
     20 -13  -2  -9 1 1 1
     21 -12  -2  -9 1 1 1
     22 -11  -2  -9 1 1 1
     23 -10  -2  -9 1 1 1
     24  -9  -2  -9 1 1 1
     25  -8  -2  -9 1 1 1
     26  -7  -2  -9 1 1 1
     27  -6  -2  -9 1 1 1
     28  -5  -2  -9 1 1 1
     29  -4  -2  -9 1 1 1
     30  -3  -2  -9 1 1 1
     31  -2  -2  -9 1 1 1
     32  -1  -2  -9 1 1 1
     33   0  -2  -9 1 1 1
     34   1  -2  -9 1 1 1
     35   2  -2  -9 1 1 1
     36   3  -2  -9 1 1 1
     37   4  -2  -9 1 1 1
     38   5  -2  -9 1 1 1
     39   6  -2  -9 1 1 1
     40   7  -2  -9 1 1 1
     41   8  -2  -9 1 1 1
     42   9  -2  -9 1 1 1
     43  10  -2  -9 1 1 1
     44  11  -2  -9 1 1 1
     45  12  -2  -9 1 1 1
     46  13  -2  -9 1 1 1
     47  14  -2  -9 1 1 1
     48  15  -2  -9 1 1 1
     49  16  -2  -9 1 1 1
     50  17  -2  -9 1 1 1
     51  18  -2  -9 1 1 1
     52  19  -2  -9 1 1 1
